name,date_x,score,genre,overview,orig_title,orig_lang,budget_x,country
Terrifier 2,10/28/2022,69.0,Horror,"After being resurrected by a sinister entity,Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises,the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",Terrifier 2,English,250000.0,AU
John Wick,11/26/2014,74.0,"Action,Thriller","Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.",John Wick,English,30000000.0,AU
Spider-Man: No Way Home,12/16/2021,80.0,"Action,Adventure,Science Fiction","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous,forcing him to discover what it truly means to be Spider-Man.",Spider-Man: No Way Home,English,200000000.0,AU
R.I.P.D. 2: Rise of the Damned,11/15/2022,66.0,"Action,Comedy,Fantasy,Crime","When Sheriff Roy Pulsipher finds himself in the afterlife,he joins a special police force and returns to Earth to save humanity from the undead.",R.I.P.D. 2: Rise of the Damned,English,52000000.0,US
Dolphin Boy,04/07/2022,65.0,"Animation,Adventure,Fantasy,Comedy","When a plane crashes at sea,dolphins rescue a little boy and raise him as family. He lives a carefree life beneath the waves until an evil monster seizes power over the underwater world. The boy is banished to dry land,where a kind-hearted captain takes him in. With the captain’s help,the boy sets out on a journey to solve the mystery of his true identity.",Мальчик-дельфин,Russian,115000000.0,RU
Guillermo del Toro's Pinocchio,11/24/2022,82.0,"Animation,Fantasy,Drama,Music","During the rise of fascism in Mussolini's Italy,a wooden boy brought magically to life struggles to live up to his father's expectations.",Guillermo del Toro's Pinocchio,English,35000000.0,AU
A Frozen Rooster,12/14/2022,79.0,"Animation,Adventure,Comedy,Family","Follow the adventures of Toto and his family,who will have to travel to the South Pole to fulfill their promise to return a polar bear and some Spanish penguins to their home. In order to fulfill the promise,they will have to overcome some obstacles that will teach them how important teamwork is.",Huevitos Congelados," Spanish,Castilian",113880000.0,MX
Dragon Ball Super: Super Hero,08/18/2022,79.0,"Animation,Science Fiction,Action","The Red Ribbon Army,an evil organization that was once destroyed by Goku in the past,has been reformed by a group of people who have created new and mightier Androids,Gamma 1 and Gamma 2,and seek vengeance against Goku and his family.",ドラゴンボール超 スーパーヒーロー,Japanese,43602532.0,AU
Nocebo,11/04/2022,63.0,"Mystery,Thriller,Horror","A fashion designer hires a nanny from the Philippines to assist her in caring for her family while she is suffering from what she believes is a tick-related illness. The nanny uses traditional Filipino folk healing techniques to help her,but in the process of doing so,she uncovers a horrifying truth about why she is there and why her employer is actually sick.",Nocebo,English,112000000.0,US
Prey,08/05/2022,78.0,"Thriller,Action,Science Fiction","When danger threatens her camp,the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",Prey,English,65000000.0,AU
Hex,11/01/2022,61.0,"Action,Horror,Thriller","Following a mysterious disappearance on a jump,a group of skydivers experiences paranormal occurrences that leave them fighting for their lives.",Hex,English,117480000.0,US
Medieval,09/09/2022,72.0,"Action,Drama,History","The story of 14th century Czech icon and warlord Jan Zizka who defeated armies of the Teutonic Order and the Holy Roman Empire.",Medieval,English,23000000.0,US
Barbie: Skipper and the Big Babysitting Adventure,03/16/2023,73.0,"Family,Animation","Barbie’s younger sister Skipper is a babysitting expert,but when her babysitting business hits a snag,she takes a summer job at a water park and tries out different jobs with some new friends. A birthday party at the park goes awry and Skipper’s babysitting skills save the day! The success renews Skipper’s confidence in her babysitting business,and she and her new friends start a babysitting squad.",Barbie: Skipper and the Big Babysitting Adventure,English,134400000.0,US
Super Mario Bros.,06/10/1993,43.0,"Action,Adventure,Comedy,Family,Science Fiction","Mario and Luigi,plumbers from Brooklyn,find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator,Koopa.",Super Mario Bros.,English,42000000.0,AU
Transfusion,01/05/2023,64.0,"Crime,Thriller,Drama","Ryan Logan,a former Special Forces operative,is battling to cope with life after the loss of his wife.  He is thrusted into the criminal underworld to keep his only son from being taken from him.",Transfusion,English,104580000.0,AU
Jurassic World Dominion,06/09/2022,69.0,"Adventure,Action,Science Fiction","Four years after the destruction of Isla Nublar,Biosyn operatives attempt to track down Maisie Lockwood,while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",Jurassic World Dominion,English,165000000.0,AU
The Boss Baby: Christmas Bonus,12/06/2022,68.0,"Animation,Family,Adventure","Christmas Eve takes a twisty turn when the Boss Baby accidentally swaps places with one of Santa's elves and gets stranded at the North Pole.",The Boss Baby: Christmas Bonus,English,51000000.0,US
Shazam!,04/04/2019,70.0,"Action,Comedy,Fantasy","A boy is given the ability to become an adult superhero in times of need with a single magic word.",Shazam!,English,85000000.0,AU
El último hombre sobre la Tierra,12/22/2022,65.0,Comedy,"Liliana is the dream girl of many of her co-workers,among them Piquiña,an ugly and ordinary charlatan who,convinced of his irresistible attractiveness,launches into her conquest during the celebration of the company's novena. Liliana,who can't stand Piquíña,makes it clear to him that the only way she would be with him would be if he were the last man on earth.",El último hombre sobre la Tierra," Spanish,Castilian",100000000.0,CO
All Quiet on the Western Front,10/13/2022,78.0,"Drama,War,History","Paul Baumer and his friends Albert and Muller,egged on by romantic dreams of heroism,voluntarily enlist in the German army. Full of excitement and patriotic fervour,the boys enthusiastically march into a war they believe in. But once on the Western Front,they discover the soul-destroying horror of World War I.",Im Westen nichts Neues,German,20000000.0,AU
Violent Night,12/01/2022,76.0,"Action,Comedy,Crime,Thriller","When a team of mercenaries breaks into a wealthy family compound on Christmas Eve,taking everyone inside hostage,the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds,and he’s about to show why this Nick is no saint.",Violent Night,English,20000000.0,AU
